step,train_loss,train_acc,val_loss,val_acc
1,4.760521770752582,0.008805841924398625,4.758886383161512,0.010094501718213059
100,4.368426898091109,0.04381443298969072,4.808467157108268,0.012027491408934709
200,3.903441811754941,0.11834192439862543,5.3314033865519,0.01138316151202749
300,3.2757589046897757,0.24699312714776633,5.637544746661105,0.012242268041237113
400,2.3921170586982545,0.4795962199312715,5.92488556629194,0.01138316151202749
500,1.477046943202461,0.7096219931271478,5.9588608610671,0.013960481099656358
600,0.7460467969019389,0.8962628865979382,5.5453321401196245,0.017396907216494846
700,0.34895093273051414,0.9705756013745704,4.828290344513569,0.03049828178694158
800,0.15739835768016344,0.9937714776632303,4.013208700619202,0.06701030927835051
900,0.07966846481119234,0.998926116838488,3.209565136440841,0.14712199312714777
1000,0.04219205785043461,1.0,2.3545785704019555,0.27920962199312716
1100,0.02727542878400624,1.0,1.622589812655629,0.4579037800687285
1200,0.016618616194096218,1.0,1.0971066169312729,0.6327319587628866
1300,0.013240096383308832,0.9997852233676976,0.7881128163272163,0.7386168384879725
1400,0.010048258185540278,1.0,0.5458599961910051,0.8185137457044673
1500,0.007496749366156731,1.0,0.3356302710333231,0.9031357388316151
1600,0.00596290460829319,0.9997852233676976,0.20716506626802622,0.9448024054982818
1700,0.004481046673396916,1.0,0.13330486913522085,0.970360824742268
1800,0.003733261548385946,1.0,0.08510804253140676,0.9830326460481099
1900,0.0035854800047410516,1.0,0.06242968522242664,0.9894759450171822
2000,0.002662021617158684,1.0,0.04150036588003955,0.9918384879725086
2100,0.00339022897107085,1.0,0.04414678507090844,0.9916237113402062
2200,0.003146414769832621,0.9997852233676976,0.030225088544625186,0.9952749140893471
2300,0.001569040885748809,1.0,0.01663478811773955,0.9991408934707904
